qid 	query
Q1	javascript
Q2	javascript and python
Q3	operating system and machine learning
Q4	elixir and r
Q5	database and data science and data mining
Q6	deep learning and virtual reality
Q7	merge sort algorithm
Q8	compiler and jit compiler
Q9	covid and its side elfects
Q10	Pneumonia and its causes
Q11	about india
Q12	sql and nosql
Q13	types of graphs
Q14	what is chernoff bound
Q15	what is mosaic theory
Q16	what is a tensor
Q17	singular value decomposition
Q18	difference between symmetric and skew symmetric matrix
Q19  	williams syndrome
Q20  	Air pollution
